fold_id,method,eeg_in_top
0,ANOVA-F,20
1,ANOVA-F,20
2,ANOVA-F,20
3,ANOVA-F,20
4,ANOVA-F,20
5,ANOVA-F,20
6,ANOVA-F,20
7,ANOVA-F,20
8,ANOVA-F,20
9,ANOVA-F,20
10,ANOVA-F,20
11,ANOVA-F,19
12,ANOVA-F,20
13,ANOVA-F,20
14,ANOVA-F,20
15,ANOVA-F,19
16,ANOVA-F,20
17,ANOVA-F,20
18,ANOVA-F,20
19,ANOVA-F,20
20,ANOVA-F,20
21,ANOVA-F,19
22,ANOVA-F,20
23,ANOVA-F,20
24,ANOVA-F,16
0,RF-impurity,1
1,RF-impurity,1
2,RF-impurity,1
3,RF-impurity,0
4,RF-impurity,0
5,RF-impurity,1
6,RF-impurity,1
7,RF-impurity,0
8,RF-impurity,0
9,RF-impurity,0
10,RF-impurity,1
11,RF-impurity,1
12,RF-impurity,0
13,RF-impurity,0
14,RF-impurity,0
15,RF-impurity,1
16,RF-impurity,0
17,RF-impurity,0
18,RF-impurity,0
19,RF-impurity,1
20,RF-impurity,0
21,RF-impurity,0
22,RF-impurity,0
23,RF-impurity,2
24,RF-impurity,0
0,RF-permutation,11
1,RF-permutation,4
2,RF-permutation,5
3,RF-permutation,14
4,RF-permutation,8
