task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm
binary,0,0,0,none,LR,True,4968,"{""C"": 10}",0.5888323278029161,0.4545454545454545,0.3333333333333333,0.4230769230769231,"[[7, 6], [6, 3]]"
binary,0,0,0,none,LR,False,4968,"{""C"": 1.0}",,0.5454545454545454,0.375,0.4743589743589743,"[[9, 4], [6, 3]]"
binary,0,0,0,none,LASSO,True,4968,"{""C"": 0.1}",0.6717885872297638,0.4545454545454545,0.4545454545454545,0.5811965811965812,"[[5, 8], [4, 5]]"
binary,0,0,0,none,LASSO,False,4968,"{""C"": 1.0}",,0.5,0.4210526315789473,0.452991452991453,"[[7, 6], [5, 4]]"
binary,0,0,0,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.6937531422825541,0.6363636363636364,0.4285714285714285,0.641025641025641,"[[11, 2], [6, 3]]"
binary,0,0,0,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6363636363636364,0.4285714285714285,0.641025641025641,"[[11, 2], [6, 3]]"
binary,0,0,0,none,SVM,True,4968,"{""C"": 0.1, ""gamma"": 0.0001}",0.6106083459024635,0.5909090909090909,0.0,0.4914529914529914,"[[13, 0], [9, 0]]"
binary,0,0,0,none,SVM,False,4968,"{""C"": 1.0, ""gamma"": ""scale""}",,0.5,0.3529411764705882,0.4829059829059828,"[[8, 5], [6, 3]]"
binary,0,0,0,anova,LR,True,50,"{""C"": 0.01}",0.7187971342383107,0.6818181818181818,0.5882352941176471,0.5726495726495726,"[[10, 3], [4, 5]]"
binary,0,0,0,anova,LR,False,50,"{""C"": 1.0}",,0.5454545454545454,0.5,0.5982905982905983,"[[7, 6], [4, 5]]"
binary,0,0,0,anova,LASSO,True,20,"{""C"": 5}",0.6925904977375565,0.5454545454545454,0.4444444444444444,0.5897435897435896,"[[8, 5], [5, 4]]"
binary,0,0,0,anova,LASSO,False,50,"{""C"": 1.0}",,0.5454545454545454,0.5,0.547008547008547,"[[7, 6], [4, 5]]"
binary,0,0,0,anova,RF,True,500,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7013260432378079,0.6818181818181818,0.5882352941176471,0.670940170940171,"[[10, 3], [4, 5]]"
binary,0,0,0,anova,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6363636363636364,0.5555555555555556,0.5726495726495726,"[[9, 4], [4, 5]]"
binary,0,0,0,anova,SVM,True,500,"{""C"": 10, ""gamma"": 0.01}",0.7159062342885871,0.5909090909090909,0.1818181818181818,0.4957264957264957,"[[12, 1], [8, 1]]"
binary,0,0,0,anova,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.6363636363636364,0.5,0.5128205128205129,"[[10, 3], [5, 4]]"
binary,0,0,0,mi,LR,True,200,"{""C"": 0.01}",0.670343137254902,0.6363636363636364,0.5,0.6239316239316239,"[[10, 3], [5, 4]]"
binary,0,0,0,mi,LR,False,50,"{""C"": 1.0}",,0.3636363636363636,0.2222222222222222,0.3675213675213675,"[[6, 7], [7, 2]]"
binary,0,0,0,mi,LASSO,True,500,"{""C"": 0.1}",0.6717885872297638,0.5,0.4761904761904761,0.5555555555555556,"[[6, 7], [4, 5]]"
binary,0,0,0,mi,LASSO,False,50,"{""C"": 1.0}",,0.4545454545454545,0.4,0.4017094017094017,"[[6, 7], [5, 4]]"
binary,0,0,0,mi,RF,True,500,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.6843262946204122,0.6818181818181818,0.5333333333333333,0.6324786324786325,"[[11, 2], [5, 4]]"
binary,0,0,0,mi,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5909090909090909,0.4,0.6239316239316239,"[[10, 3], [6, 3]]"
binary,0,0,0,mi,SVM,True,200,"{""C"": 10, ""gamma"": 0.01}",0.6722913524384113,0.5454545454545454,0.4444444444444444,0.4957264957264957,"[[8, 5], [5, 4]]"
binary,0,0,0,mi,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.5,0.2666666666666666,0.4102564102564102,"[[9, 4], [7, 2]]"
binary,1,0,1,none,LR,True,4968,"{""C"": 0.01}",0.5792169431875315,0.5,0.3529411764705882,0.5641025641025641,"[[8, 5], [6, 3]]"
binary,1,0,1,none,LR,False,4968,"{""C"": 1.0}",,0.5454545454545454,0.4444444444444444,0.5555555555555556,"[[8, 5], [5, 4]]"
binary,1,0,1,none,LASSO,True,4968,"{""C"": 0.1}",0.6209778783308195,0.5909090909090909,0.5263157894736842,0.6581196581196581,"[[8, 5], [4, 5]]"
binary,1,0,1,none,LASSO,False,4968,"{""C"": 1.0}",,0.6363636363636364,0.6,0.6837606837606838,"[[8, 5], [3, 6]]"
binary,1,0,1,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7018288084464555,0.6363636363636364,0.5,0.5555555555555556,"[[10, 3], [5, 4]]"
binary,1,0,1,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5909090909090909,0.3076923076923077,0.6324786324786325,"[[11, 2], [7, 2]]"
binary,1,0,1,none,SVM,True,4968,"{""C"": 1, ""gamma"": ""scale""}",0.6389517345399698,0.4545454545454545,0.25,0.4700854700854701,"[[8, 5], [7, 2]]"
binary,1,0,1,none,SVM,False,4968,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4545454545454545,0.25,0.4700854700854701,"[[8, 5], [7, 2]]"
binary,1,0,1,anova,LR,True,100,"{""C"": 0.01}",0.6864002011060836,0.5454545454545454,0.2857142857142857,0.5555555555555555,"[[10, 3], [7, 2]]"
binary,1,0,1,anova,LR,False,50,"{""C"": 1.0}",,0.7272727272727273,0.625,0.8034188034188035,"[[11, 2], [4, 5]]"
binary,1,0,1,anova,LASSO,True,10,"{""C"": 0.5}",0.6709715937657114,0.5454545454545454,0.4444444444444444,0.6153846153846154,"[[8, 5], [5, 4]]"
binary,1,0,1,anova,LASSO,False,50,"{""C"": 1.0}",,0.6818181818181818,0.5882352941176471,0.7692307692307693,"[[10, 3], [4, 5]]"
binary,1,0,1,anova,RF,True,500,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7157019859225741,0.6818181818181818,0.5333333333333333,0.6324786324786325,"[[11, 2], [5, 4]]"
binary,1,0,1,anova,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5909090909090909,0.3076923076923077,0.7264957264957265,"[[11, 2], [7, 2]]"
binary,1,0,1,anova,SVM,True,10,"{""C"": 10, ""gamma"": 0.01}",0.6937531422825541,0.5454545454545454,0.2857142857142857,0.6666666666666666,"[[10, 3], [7, 2]]"
binary,1,0,1,anova,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4545454545454545,0.1428571428571428,0.5213675213675213,"[[9, 4], [8, 1]]"
binary,1,0,1,mi,LR,True,20,"{""C"": 10}",0.6545688788335847,0.5,0.2666666666666666,0.4957264957264957,"[[9, 4], [7, 2]]"
binary,1,0,1,mi,LR,False,50,"{""C"": 1.0}",,0.5909090909090909,0.4705882352941176,0.717948717948718,"[[9, 4], [5, 4]]"
binary,1,0,1,mi,LASSO,True,50,"{""C"": 0.1}",0.644356460532931,0.5909090909090909,0.64,0.7179487179487178,"[[5, 8], [1, 8]]"
binary,1,0,1,mi,LASSO,False,50,"{""C"": 1.0}",,0.6363636363636364,0.5,0.6752136752136753,"[[10, 3], [5, 4]]"
binary,1,0,1,mi,RF,True,50,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.6722599296128707,0.5454545454545454,0.2857142857142857,0.5897435897435898,"[[10, 3], [7, 2]]"
binary,1,0,1,mi,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5909090909090909,0.4,0.5726495726495726,"[[10, 3], [6, 3]]"
binary,1,0,1,mi,SVM,True,100,"{""C"": 10, ""gamma"": 0.001}",0.6608534439416793,0.4545454545454545,0.1428571428571428,0.5726495726495726,"[[9, 4], [8, 1]]"
binary,1,0,1,mi,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.5,0.2666666666666666,0.5726495726495726,"[[9, 4], [7, 2]]"
binary,2,0,2,none,LR,True,4968,"{""C"": 1}",0.6222033685268978,0.5454545454545454,0.375,0.5726495726495726,"[[9, 4], [6, 3]]"
binary,2,0,2,none,LR,False,4968,"{""C"": 1.0}",,0.5454545454545454,0.375,0.5726495726495726,"[[9, 4], [6, 3]]"
binary,2,0,2,none,LASSO,True,4968,"{""C"": 0.5}",0.5606774761186526,0.5454545454545454,0.4444444444444444,0.6837606837606838,"[[8, 5], [5, 4]]"
binary,2,0,2,none,LASSO,False,4968,"{""C"": 1.0}",,0.5454545454545454,0.4444444444444444,0.6752136752136751,"[[8, 5], [5, 4]]"
binary,2,0,2,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.7170374560080442,0.6818181818181818,0.631578947368421,0.7264957264957266,"[[9, 4], [3, 6]]"
binary,2,0,2,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6818181818181818,0.631578947368421,0.7264957264957266,"[[9, 4], [3, 6]]"
