task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm
mod_EEG-only_none_RF,0,0,0,none,RF,True,3456,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7123782698434429,0.5517241379310345,0.5316239316239316,0.7746799496799497,"[[9, 2, 2], [4, 4, 1], [4, 0, 3]]"
mod_EEG-only_none_RF,0,0,0,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5172413793103449,0.504420866489832,0.7433191808191809,"[[8, 3, 2], [4, 4, 1], [4, 0, 3]]"
mod_EEG-only_none_RF,1,0,1,none,RF,True,3456,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.80008440643324,0.4827586206896552,0.4968944099378882,0.7328925703925705,"[[4, 6, 3], [3, 6, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,1,0,1,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.4827586206896552,0.5014245014245015,0.682571595071595,"[[6, 5, 2], [5, 4, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,2,0,2,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7600581461263394,0.5862068965517241,0.5813492063492064,0.7745162245162245,"[[10, 3, 0], [7, 2, 0], [2, 0, 5]]"
mod_EEG-only_none_RF,2,0,2,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6206896551724138,0.641537074599955,0.8077311577311578,"[[9, 4, 0], [5, 4, 0], [2, 0, 5]]"
mod_EEG-only_none_RF,3,0,3,none,RF,True,3456,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7327980087314473,0.6206896551724138,0.5824175824175825,0.8242533696094068,"[[12, 0, 0], [7, 3, 0], [4, 0, 3]]"
mod_EEG-only_none_RF,3,0,3,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5862068965517241,0.5513506101741396,0.8246634858089966,"[[11, 0, 1], [7, 3, 0], [4, 0, 3]]"
mod_EEG-only_none_RF,4,0,4,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.7272326666390571,0.5357142857142857,0.5046594982078854,0.7897938049488801,"[[9, 2, 1], [5, 4, 0], [5, 0, 2]]"
mod_EEG-only_none_RF,4,0,4,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5357142857142857,0.5046594982078854,0.7799421669252496,"[[9, 2, 1], [5, 4, 0], [5, 0, 2]]"
mod_EEG-only_none_RF,5,1,0,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7578458605514932,0.4827586206896552,0.3703703703703704,0.7558117808117807,"[[11, 1, 1], [8, 0, 1], [4, 0, 3]]"
mod_EEG-only_none_RF,5,1,0,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.4482758620689655,0.32491582491582494,0.7153994153994154,"[[11, 1, 1], [8, 0, 1], [4, 1, 2]]"
mod_EEG-only_none_RF,6,1,1,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7165940469236501,0.6551724137931034,0.5916666666666667,0.8138639138639139,"[[12, 0, 1], [4, 5, 0], [3, 2, 2]]"
mod_EEG-only_none_RF,6,1,1,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6206896551724138,0.5733194009056078,0.7999828874828875,"[[10, 1, 2], [3, 6, 0], [3, 2, 2]]"
mod_EEG-only_none_RF,7,1,2,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7970827567917599,0.41379310344827586,0.40952380952380957,0.6549408924408925,"[[6, 4, 3], [6, 2, 1], [3, 0, 4]]"
mod_EEG-only_none_RF,7,1,2,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.4482758620689655,0.433935413245758,0.6343804343804343,"[[7, 3, 3], [6, 2, 1], [3, 0, 4]]"
mod_EEG-only_none_RF,8,1,3,none,RF,True,3456,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7914497264658785,0.6551724137931034,0.6409146409146409,0.8289994147579286,"[[8, 3, 1], [2, 8, 0], [4, 0, 3]]"
mod_EEG-only_none_RF,8,1,3,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6551724137931034,0.6417179311916154,0.8042912539816566,"[[9, 2, 1], [3, 7, 0], [4, 0, 3]]"
mod_EEG-only_none_RF,9,1,4,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.7278833740718937,0.5714285714285714,0.5416666666666666,0.8227158919123205,"[[10, 1, 1], [7, 2, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,9,1,4,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6071428571428571,0.5911221395092362,0.8271795560329395,"[[10, 1, 1], [6, 3, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,10,2,0,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.7669210264245608,0.41379310344827586,0.4391534391534391,0.7236180486180487,"[[6, 6, 1], [7, 2, 0], [2, 1, 4]]"
mod_EEG-only_none_RF,10,2,0,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.41379310344827586,0.4391534391534391,0.7129421504421504,"[[6, 6, 1], [7, 2, 0], [2, 1, 4]]"
mod_EEG-only_none_RF,11,2,1,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.7415688461480894,0.5517241379310345,0.5491039426523298,0.8026547526547526,"[[9, 3, 1], [6, 3, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,11,2,1,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5862068965517241,0.5888888888888889,0.8055671180671181,"[[9, 3, 1], [5, 4, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,12,2,2,none,RF,True,3456,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7026990906907424,0.5172413793103449,0.49354838709677423,0.7191165316165314,"[[9, 2, 2], [6, 3, 0], [3, 1, 3]]"
mod_EEG-only_none_RF,12,2,2,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5517241379310345,0.5225330225330226,0.7246938246938246,"[[10, 1, 2], [6, 3, 0], [4, 0, 3]]"
mod_EEG-only_none_RF,13,2,3,none,RF,True,3456,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7427051534472088,0.6896551724137931,0.6761195793453858,0.8098506069094306,"[[11, 0, 1], [7, 3, 0], [1, 0, 6]]"
mod_EEG-only_none_RF,13,2,3,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5517241379310345,0.5247863247863248,0.791841234101296,"[[9, 1, 2], [7, 2, 1], [2, 0, 5]]"
mod_EEG-only_none_RF,14,2,4,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7038415588885704,0.6071428571428571,0.5237447065940714,0.8440110693400168,"[[10, 2, 0], [3, 6, 0], [4, 2, 1]]"
mod_EEG-only_none_RF,14,2,4,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6785714285714286,0.5944022770398482,0.8482279607749534,"[[11, 1, 0], [2, 7, 0], [6, 0, 1]]"
mod_EEG-only_none_RF,15,3,0,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7365360072501975,0.5862068965517241,0.5888888888888889,0.8364510489510489,"[[9, 3, 1], [5, 4, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,15,3,0,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6206896551724138,0.6150537634408603,0.8283350908350909,"[[10, 2, 1], [5, 4, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,16,3,1,none,RF,True,3456,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.698751213956592,0.4827586206896552,0.4707070707070707,0.6960777648277648,"[[9, 4, 0], [7, 2, 0], [4, 0, 3]]"
mod_EEG-only_none_RF,16,3,1,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.41379310344827586,0.37142857142857144,0.7107623857623858,"[[9, 4, 0], [9, 0, 0], [4, 0, 3]]"
mod_EEG-only_none_RF,17,3,2,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7890044164782362,0.4827586206896552,0.5094017094017094,0.6926985051985052,"[[6, 6, 1], [5, 4, 0], [2, 1, 4]]"
mod_EEG-only_none_RF,17,3,2,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.4827586206896552,0.5094017094017094,0.6930509305509306,"[[6, 6, 1], [5, 4, 0], [2, 1, 4]]"
mod_EEG-only_none_RF,18,3,3,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.7253654880110444,0.5172413793103449,0.4951923076923077,0.8189348147552482,"[[9, 1, 2], [8, 2, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,18,3,3,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.4827586206896552,0.45104895104895104,0.8110545972775075,"[[9, 1, 2], [8, 2, 0], [4, 0, 3]]"
mod_EEG-only_none_RF,19,3,4,none,RF,True,3456,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7591844696953688,0.5,0.48717948717948717,0.6458348873175002,"[[6, 3, 3], [3, 6, 0], [5, 0, 2]]"
mod_EEG-only_none_RF,19,3,4,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.35714285714285715,0.3272727272727273,0.6267895681664478,"[[6, 3, 3], [6, 3, 0], [6, 0, 1]]"
mod_EEG-only_none_RF,20,4,0,none,RF,True,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",0.7270423895883226,0.5172413793103449,0.4939146874630746,0.7576553076553078,"[[9, 2, 2], [7, 2, 0], [2, 1, 4]]"
mod_EEG-only_none_RF,20,4,0,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5172413793103449,0.4939146874630746,0.7576553076553078,"[[9, 2, 2], [7, 2, 0], [2, 1, 4]]"
mod_EEG-only_none_RF,21,4,1,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7651240756254708,0.6206896551724138,0.6216931216931217,0.7895604395604395,"[[9, 3, 1], [4, 5, 0], [2, 1, 4]]"
mod_EEG-only_none_RF,21,4,1,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6206896551724138,0.611111111111111,0.7603183853183854,"[[10, 2, 1], [5, 4, 0], [2, 1, 4]]"
mod_EEG-only_none_RF,22,4,2,none,RF,True,3456,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7636791021242603,0.4482758620689655,0.45627139744786804,0.7287346912346914,"[[6, 4, 3], [6, 3, 0], [2, 1, 4]]"
mod_EEG-only_none_RF,22,4,2,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.4827586206896552,0.4724093111189885,0.7451321826321826,"[[8, 3, 2], [7, 2, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,23,4,3,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.8069500964287232,0.3793103448275862,0.3720959595959596,0.6846925692126931,"[[7, 4, 1], [9, 1, 0], [4, 0, 3]]"
mod_EEG-only_none_RF,23,4,3,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.41379310344827586,0.4172043010752688,0.6963712757830406,"[[7, 4, 1], [9, 1, 0], [3, 0, 4]]"
mod_EEG-only_none_RF,24,4,4,none,RF,True,3456,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7044739840945119,0.7142857142857143,0.6944444444444445,0.8783889286708836,"[[11, 1, 0], [3, 6, 0], [4, 0, 3]]"
mod_EEG-only_none_RF,24,4,4,none,RF,False,3456,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6785714285714286,0.6587813620071685,0.8559245335561126,"[[11, 1, 0], [4, 5, 0], [4, 0, 3]]"
