task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm
mod_Multimodal_anova_LR,0,0,0,anova,LR,True,200,"{""C"": 0.01}",0.6947690551811002,0.5517241379310345,0.5404007756948933,0.6975371850371851,"[[8, 3, 2], [3, 5, 1], [4, 0, 3]]"
mod_Multimodal_anova_LR,0,0,0,anova,LR,False,50,"{""C"": 1.0}",,0.4482758620689655,0.4501424501424502,0.6353882228882229,"[[6, 5, 2], [4, 4, 1], [4, 0, 3]]"
mod_Multimodal_anova_LR,1,0,1,anova,LR,True,500,"{""C"": 0.01}",0.7801917726368962,0.5517241379310345,0.5631528964862298,0.6795093795093795,"[[7, 4, 2], [4, 5, 0], [3, 0, 4]]"
mod_Multimodal_anova_LR,1,0,1,anova,LR,False,50,"{""C"": 1.0}",,0.5517241379310345,0.5584615384615385,0.7216931216931216,"[[5, 6, 2], [2, 7, 0], [0, 3, 4]]"
mod_Multimodal_anova_LR,2,0,2,anova,LR,True,50,"{""C"": 0.01}",0.7109777407791298,0.5862068965517241,0.532702591526121,0.8055430680430681,"[[11, 1, 1], [8, 1, 0], [2, 0, 5]]"
mod_Multimodal_anova_LR,2,0,2,anova,LR,False,50,"{""C"": 1.0}",,0.7241379310344828,0.7203029359892105,0.8512617012617012,"[[10, 1, 2], [3, 6, 0], [1, 1, 5]]"
mod_Multimodal_anova_LR,3,0,3,anova,LR,True,200,"{""C"": 0.01}",0.7445982233639059,0.6896551724137931,0.712121212121212,0.8210901585514588,"[[8, 4, 0], [3, 7, 0], [1, 1, 5]]"
mod_Multimodal_anova_LR,3,0,3,anova,LR,False,50,"{""C"": 1.0}",,0.6551724137931034,0.6529914529914529,0.7437240605971255,"[[9, 2, 1], [4, 6, 0], [1, 2, 4]]"
mod_Multimodal_anova_LR,4,0,4,anova,LR,True,100,"{""C"": 0.01}",0.7315301679627311,0.5357142857142857,0.5542497625830959,0.778349022357481,"[[7, 4, 1], [6, 3, 0], [2, 0, 5]]"
mod_Multimodal_anova_LR,4,0,4,anova,LR,False,50,"{""C"": 1.0}",,0.6785714285714286,0.6654456654456654,0.8327173340096272,"[[10, 1, 1], [3, 5, 1], [3, 0, 4]]"
mod_Multimodal_anova_LR,5,1,0,anova,LR,True,100,"{""C"": 0.01}",0.7360859954108862,0.5862068965517241,0.5630391114262082,0.741051541051541,"[[10, 2, 1], [5, 3, 1], [3, 0, 4]]"
mod_Multimodal_anova_LR,5,1,0,anova,LR,False,50,"{""C"": 1.0}",,0.5862068965517241,0.5555555555555555,0.7457722832722832,"[[10, 2, 1], [4, 4, 1], [3, 1, 3]]"
mod_Multimodal_anova_LR,6,1,1,anova,LR,True,200,"{""C"": 0.01}",0.7490439813804151,0.3103448275862069,0.2849168375484165,0.6047979797979798,"[[5, 5, 3], [6, 3, 0], [4, 2, 1]]"
mod_Multimodal_anova_LR,6,1,1,anova,LR,False,50,"{""C"": 1.0}",,0.3103448275862069,0.23809523809523805,0.5283882783882784,"[[6, 5, 2], [6, 3, 0], [3, 4, 0]]"
mod_Multimodal_anova_LR,7,1,2,anova,LR,True,200,"{""C"": 0.1}",0.7729365047106628,0.5172413793103449,0.5251960784313726,0.6892834017834018,"[[6, 4, 3], [4, 4, 1], [2, 0, 5]]"
mod_Multimodal_anova_LR,7,1,2,anova,LR,False,50,"{""C"": 1.0}",,0.4827586206896552,0.5004830917874395,0.6598549598549598,"[[5, 6, 2], [4, 4, 1], [1, 1, 5]]"
mod_Multimodal_anova_LR,8,1,3,anova,LR,True,10,"{""C"": 0.1}",0.7159713989741786,0.4482758620689655,0.3669467787114846,0.7437982210428031,"[[9, 0, 3], [10, 0, 0], [3, 0, 4]]"
mod_Multimodal_anova_LR,8,1,3,anova,LR,False,50,"{""C"": 1.0}",,0.5862068965517241,0.5555555555555555,0.6822718561108654,"[[10, 1, 1], [5, 4, 1], [3, 1, 3]]"
mod_Multimodal_anova_LR,9,1,4,anova,LR,True,200,"{""C"": 0.01}",0.7078529833405788,0.6071428571428571,0.597979797979798,0.8166547320682659,"[[10, 2, 0], [6, 3, 0], [2, 1, 4]]"
mod_Multimodal_anova_LR,9,1,4,anova,LR,False,50,"{""C"": 1.0}",,0.6428571428571429,0.6389759665621735,0.778671007876835,"[[10, 2, 0], [5, 4, 0], [2, 1, 4]]"
mod_Multimodal_anova_LR,10,2,0,anova,LR,True,200,"{""C"": 0.1}",0.7214155233570018,0.5517241379310345,0.5562610229276896,0.6997053872053872,"[[8, 5, 0], [4, 5, 0], [2, 2, 3]]"
mod_Multimodal_anova_LR,10,2,0,anova,LR,False,50,"{""C"": 1.0}",,0.5172413793103449,0.555000555000555,0.7483447108447109,"[[5, 8, 0], [3, 6, 0], [0, 3, 4]]"
mod_Multimodal_anova_LR,11,2,1,anova,LR,True,10,"{""C"": 10}",0.7158494955740563,0.6551724137931034,0.6393018745959923,0.7656524031524031,"[[10, 2, 1], [3, 5, 1], [2, 1, 4]]"
mod_Multimodal_anova_LR,11,2,1,anova,LR,False,50,"{""C"": 1.0}",,0.5862068965517241,0.5990338164251208,0.8008459133459134,"[[7, 6, 0], [2, 6, 1], [1, 2, 4]]"
mod_Multimodal_anova_LR,12,2,2,anova,LR,True,50,"{""C"": 0.01}",0.7261055635618637,0.4482758620689655,0.2740740740740741,0.7221292596292597,"[[12, 0, 1], [9, 0, 0], [6, 0, 1]]"
