task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm
mod_Multimodal_none_RF,0,0,0,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8086845712120745,0.8275862068965517,0.8253574382606641,0.866934916934917,"[[13, 0, 0], [4, 5, 0], [1, 0, 6]]"
mod_Multimodal_none_RF,0,0,0,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.8275862068965517,0.8253574382606641,0.862004662004662,"[[13, 0, 0], [4, 5, 0], [1, 0, 6]]"
mod_Multimodal_none_RF,1,0,1,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8132217830211169,0.6551724137931034,0.6666666666666666,0.8148693898693898,"[[10, 3, 0], [5, 4, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,1,0,1,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6206896551724138,0.641537074599955,0.7996392496392497,"[[9, 4, 0], [5, 4, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,2,0,2,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8390209288589001,0.7586206896551724,0.7455322455322455,0.8574781699781701,"[[13, 0, 0], [5, 4, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,2,0,2,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7241379310344828,0.7182539682539683,0.8657083657083656,"[[12, 1, 0], [5, 4, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,3,0,3,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7936524239206232,0.6206896551724138,0.6345059793335656,0.8810683124924611,"[[9, 3, 0], [5, 5, 0], [3, 0, 4]]"
mod_Multimodal_none_RF,3,0,3,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6896551724137931,0.6910457963089541,0.8687746549975651,"[[10, 2, 0], [4, 6, 0], [2, 1, 4]]"
mod_Multimodal_none_RF,4,0,4,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8063777931290631,0.6785714285714286,0.655362558588365,0.8147768976011457,"[[11, 1, 0], [7, 2, 0], [1, 0, 6]]"
mod_Multimodal_none_RF,4,0,4,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6428571428571429,0.6324786324786325,0.8068683613796396,"[[10, 2, 0], [7, 2, 0], [1, 0, 6]]"
mod_Multimodal_none_RF,5,1,0,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8188033875113412,0.6551724137931034,0.6241830065359477,0.8771127021127021,"[[12, 1, 0], [7, 2, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,5,1,0,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6896551724137931,0.6740481740481741,0.8679602804602805,"[[12, 1, 0], [6, 3, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,6,1,1,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7848413011287457,0.7931034482758621,0.7944444444444444,0.8818371443371443,"[[12, 1, 0], [3, 6, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,6,1,1,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7931034482758621,0.7889339643903539,0.8796527546527546,"[[12, 1, 0], [3, 6, 0], [1, 1, 5]]"
mod_Multimodal_none_RF,7,1,2,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8417266333890884,0.6206896551724138,0.6075036075036074,0.7682609057609057,"[[11, 2, 0], [6, 3, 0], [3, 0, 4]]"
mod_Multimodal_none_RF,7,1,2,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6206896551724138,0.6075036075036074,0.7679047804047805,"[[11, 2, 0], [6, 3, 0], [3, 0, 4]]"
mod_Multimodal_none_RF,8,1,3,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8402425576604826,0.7586206896551724,0.7688992042440318,0.8868589700633045,"[[11, 1, 0], [5, 5, 0], [1, 0, 6]]"
mod_Multimodal_none_RF,8,1,3,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7931034482758621,0.7965811965811967,0.8561617948614852,"[[12, 0, 0], [5, 5, 0], [1, 0, 6]]"
mod_Multimodal_none_RF,9,1,4,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8131667280572467,0.6785714285714286,0.6547008547008547,0.8554185563114135,"[[11, 1, 0], [7, 2, 0], [0, 1, 6]]"
mod_Multimodal_none_RF,9,1,4,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7142857142857143,0.6768679349324511,0.8760051169590644,"[[12, 0, 0], [7, 2, 0], [0, 1, 6]]"
mod_Multimodal_none_RF,10,2,0,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8124962577781417,0.7931034482758621,0.7944444444444444,0.8418202168202168,"[[12, 1, 0], [3, 6, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,10,2,0,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7586206896551724,0.7580645161290324,0.8294191919191919,"[[12, 1, 0], [4, 5, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,11,2,1,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7681901627069032,0.6896551724137931,0.6706349206349206,0.8638412513412512,"[[12, 1, 0], [6, 3, 0], [1, 1, 5]]"
mod_Multimodal_none_RF,11,2,1,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7241379310344828,0.6942501942501943,0.8590136715136715,"[[13, 0, 0], [6, 3, 0], [1, 1, 5]]"
mod_Multimodal_none_RF,12,2,2,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.777920737474897,0.7241379310344828,0.7182539682539683,0.8937853812853813,"[[12, 1, 0], [5, 4, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,12,2,2,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7586206896551724,0.7455322455322455,0.8569717319717319,"[[13, 0, 0], [5, 4, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,13,2,3,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",0.819561485518213,0.6206896551724138,0.566955266955267,0.8502278423331054,"[[12, 0, 0], [9, 1, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,13,2,3,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6206896551724138,0.566955266955267,0.8502278423331054,"[[12, 0, 0], [9, 1, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,14,2,4,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7907242533073974,0.6428571428571429,0.669683257918552,0.8451436130007558,"[[8, 4, 0], [5, 4, 0], [1, 0, 6]]"
mod_Multimodal_none_RF,14,2,4,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.75,0.76991452991453,0.8655200749890599,"[[9, 3, 0], [3, 6, 0], [1, 0, 6]]"
mod_Multimodal_none_RF,15,3,0,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.830645671504456,0.5862068965517241,0.5512820512820512,0.821509509009509,"[[11, 2, 0], [8, 1, 0], [1, 1, 5]]"
mod_Multimodal_none_RF,15,3,0,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6551724137931034,0.6645255803470814,0.8074425574425574,"[[10, 3, 0], [5, 4, 0], [1, 1, 5]]"
mod_Multimodal_none_RF,16,3,1,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8059385946063647,0.5172413793103449,0.4913165266106443,0.7205988455988456,"[[10, 3, 0], [7, 2, 0], [4, 0, 3]]"
mod_Multimodal_none_RF,16,3,1,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5172413793103449,0.4913165266106443,0.6562062937062937,"[[10, 3, 0], [7, 2, 0], [4, 0, 3]]"
mod_Multimodal_none_RF,17,3,2,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8320385752129157,0.6896551724137931,0.6854700854700854,0.8159581159581158,"[[11, 2, 0], [6, 3, 0], [0, 1, 6]]"
mod_Multimodal_none_RF,17,3,2,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6896551724137931,0.6854700854700854,0.8160848410848413,"[[11, 2, 0], [6, 3, 0], [0, 1, 6]]"
mod_Multimodal_none_RF,18,3,3,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.7742308791384743,0.8620689655172413,0.8690476190476191,0.9156518747850018,"[[12, 0, 0], [4, 6, 0], [0, 0, 7]]"
mod_Multimodal_none_RF,18,3,3,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.896551724137931,0.9041394335511983,0.9170450636394909,"[[12, 0, 0], [3, 7, 0], [0, 0, 7]]"
mod_Multimodal_none_RF,19,3,4,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7997941675238648,0.7142857142857143,0.7126984126984127,0.8423023083502407,"[[11, 1, 0], [5, 4, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,19,3,4,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.75,0.7528735632183908,0.8572311234435294,"[[11, 1, 0], [4, 5, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,20,4,0,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.799186227238519,0.7241379310344828,0.7148553201184781,0.8773661523661523,"[[11, 2, 0], [3, 6, 0], [1, 2, 4]]"
mod_Multimodal_none_RF,20,4,0,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7241379310344828,0.7148553201184781,0.8801753801753801,"[[11, 2, 0], [3, 6, 0], [1, 2, 4]]"
mod_Multimodal_none_RF,21,4,1,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8327075200252018,0.7586206896551724,0.7455322455322455,0.9048590298590299,"[[13, 0, 0], [5, 4, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,21,4,1,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7586206896551724,0.7455322455322455,0.9075655825655825,"[[13, 0, 0], [5, 4, 0], [2, 0, 5]]"
mod_Multimodal_none_RF,22,4,2,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8314095985058297,0.6896551724137931,0.6871085903343968,0.8499167499167499,"[[11, 2, 0], [6, 3, 0], [1, 0, 6]]"
mod_Multimodal_none_RF,22,4,2,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7241379310344828,0.7115384615384617,0.8036361786361786,"[[12, 1, 0], [6, 3, 0], [1, 0, 6]]"
mod_Multimodal_none_RF,23,4,3,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8578509500763651,0.6206896551724138,0.6291187739463602,0.7992690058479534,"[[9, 3, 0], [8, 2, 0], [0, 0, 7]]"
mod_Multimodal_none_RF,23,4,3,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5517241379310345,0.5268817204301075,0.7950636394908841,"[[9, 3, 0], [10, 0, 0], [0, 0, 7]]"
mod_Multimodal_none_RF,24,4,4,none,RF,True,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8559136147416228,0.5714285714285714,0.5533216783216783,0.761802820543422,"[[10, 2, 0], [7, 2, 0], [3, 0, 4]]"
mod_Multimodal_none_RF,24,4,4,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.4642857142857143,0.4646464646464647,0.7091774575327207,"[[8, 4, 0], [8, 1, 0], [2, 1, 4]]"
