task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm
mod_fNIRS-only_anova_LR,0,0,0,anova,LR,True,500,"{""C"": 0.01}",0.6394128846907549,0.4827586206896552,0.4331154684095861,0.6299330299330299,"[[10, 3, 0], [7, 2, 0], [4, 1, 2]]"
mod_fNIRS-only_anova_LR,0,0,0,anova,LR,False,50,"{""C"": 1.0}",,0.5517241379310345,0.5052498418722328,0.650460187960188,"[[10, 2, 1], [5, 4, 0], [3, 2, 2]]"
mod_fNIRS-only_anova_LR,1,0,1,anova,LR,True,50,"{""C"": 1}",0.6504545096613034,0.2413793103448276,0.26195286195286194,0.49515438265438266,"[[3, 9, 1], [6, 2, 1], [5, 0, 2]]"
mod_fNIRS-only_anova_LR,1,0,1,anova,LR,False,50,"{""C"": 1.0}",,0.2413793103448276,0.26195286195286194,0.49515438265438266,"[[3, 9, 1], [6, 2, 1], [5, 0, 2]]"
mod_fNIRS-only_anova_LR,2,0,2,anova,LR,True,200,"{""C"": 10}",0.5849532061769268,0.3793103448275862,0.3935693935693936,0.5956450956450957,"[[4, 5, 4], [5, 4, 0], [4, 0, 3]]"
mod_fNIRS-only_anova_LR,2,0,2,anova,LR,False,50,"{""C"": 1.0}",,0.27586206896551724,0.22905982905982905,0.48664807414807415,"[[6, 5, 2], [5, 1, 3], [6, 0, 1]]"
mod_fNIRS-only_anova_LR,3,0,3,anova,LR,True,500,"{""C"": 0.01}",0.6726276109136151,0.4827586206896552,0.5262406675450154,0.669570092789907,"[[5, 7, 0], [5, 5, 0], [2, 1, 4]]"
mod_fNIRS-only_anova_LR,3,0,3,anova,LR,False,50,"{""C"": 1.0}",,0.4827586206896552,0.46303030303030307,0.6286212411599409,"[[6, 6, 0], [2, 6, 2], [2, 3, 2]]"
mod_fNIRS-only_anova_LR,4,0,4,anova,LR,True,500,"{""C"": 0.01}",0.5664729973783215,0.4642857142857143,0.42758620689655175,0.6630284789354338,"[[7, 3, 2], [9, 0, 0], [1, 0, 6]]"
mod_fNIRS-only_anova_LR,4,0,4,anova,LR,False,50,"{""C"": 1.0}",,0.5,0.5,0.6677973455464056,"[[7, 3, 2], [7, 2, 0], [2, 0, 5]]"
mod_fNIRS-only_anova_LR,5,1,0,anova,LR,True,500,"{""C"": 1}",0.6773139694340293,0.5172413793103449,0.500366568914956,0.601082251082251,"[[9, 3, 1], [6, 3, 0], [3, 1, 3]]"
mod_fNIRS-only_anova_LR,5,1,0,anova,LR,False,50,"{""C"": 1.0}",,0.3448275862068966,0.3434343434343434,0.6279456654456654,"[[4, 8, 1], [3, 4, 2], [4, 1, 2]]"
mod_fNIRS-only_anova_LR,6,1,1,anova,LR,True,50,"{""C"": 0.1}",0.6716505171153413,0.4482758620689655,0.39823633156966487,0.6274859399859399,"[[7, 5, 1], [3, 5, 1], [4, 2, 1]]"
mod_fNIRS-only_anova_LR,6,1,1,anova,LR,False,50,"{""C"": 1.0}",,0.41379310344827586,0.40151515151515155,0.5896732896732896,"[[5, 5, 3], [4, 5, 0], [2, 3, 2]]"
mod_fNIRS-only_anova_LR,7,1,2,anova,LR,True,500,"{""C"": 10}",0.6524501978026064,0.4827586206896552,0.5038904450669156,0.6435564435564435,"[[6, 5, 2], [6, 3, 0], [2, 0, 5]]"
mod_fNIRS-only_anova_LR,7,1,2,anova,LR,False,50,"{""C"": 1.0}",,0.5172413793103449,0.513888888888889,0.6671643171643172,"[[7, 5, 1], [3, 3, 3], [1, 1, 5]]"
mod_fNIRS-only_anova_LR,8,1,3,anova,LR,True,200,"{""C"": 0.01}",0.6497305374530978,0.4482758620689655,0.43650793650793646,0.6721607941422182,"[[8, 3, 1], [9, 1, 0], [3, 0, 4]]"
mod_fNIRS-only_anova_LR,8,1,3,anova,LR,False,50,"{""C"": 1.0}",,0.27586206896551724,0.3053030303030303,0.5423641545932568,"[[1, 8, 3], [7, 2, 1], [2, 0, 5]]"
mod_fNIRS-only_anova_LR,9,1,4,anova,LR,True,500,"{""C"": 10}",0.6701572368052665,0.32142857142857145,0.30459770114942525,0.5988949307793292,"[[6, 5, 1], [8, 0, 1], [3, 1, 3]]"
mod_fNIRS-only_anova_LR,9,1,4,anova,LR,False,50,"{""C"": 1.0}",,0.2857142857142857,0.30128851540616247,0.5644381290527907,"[[3, 5, 4], [7, 2, 0], [3, 1, 3]]"
mod_fNIRS-only_anova_LR,10,2,0,anova,LR,True,100,"{""C"": 0.01}",0.5988351008723175,0.5517241379310345,0.49927849927849927,0.6691137566137567,"[[11, 2, 0], [6, 2, 1], [3, 1, 3]]"
mod_fNIRS-only_anova_LR,10,2,0,anova,LR,False,50,"{""C"": 1.0}",,0.4827586206896552,0.4682217714672076,0.6535187035187036,"[[8, 3, 2], [6, 3, 0], [2, 2, 3]]"
mod_fNIRS-only_anova_LR,11,2,1,anova,LR,True,100,"{""C"": 0.1}",0.6751962635654275,0.3448275862068966,0.3329768270944741,0.4812178562178562,"[[6, 5, 2], [7, 2, 0], [4, 1, 2]]"
