task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm
mod_fNIRS-only_none_RF,0,0,0,none,RF,True,1512,"{""max_depth"": 10, ""min_samples_leaf"": 5}",0.8071052139354808,0.7241379310344828,0.6838063896887426,0.8606513856513857,"[[13, 0, 0], [7, 2, 0], [1, 0, 6]]"
mod_fNIRS-only_none_RF,0,0,0,none,RF,False,1512,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7241379310344828,0.6838063896887426,0.8606513856513857,"[[13, 0, 0], [7, 2, 0], [1, 0, 6]]"
mod_fNIRS-only_none_RF,1,0,1,none,RF,True,1512,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.7522669785237879,0.7931034482758621,0.7795698924731184,0.8849532412032413,"[[13, 0, 0], [4, 5, 0], [1, 1, 5]]"
mod_fNIRS-only_none_RF,1,0,1,none,RF,False,1512,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7241379310344828,0.7267297723687176,0.9075415325415325,"[[11, 2, 0], [4, 5, 0], [1, 1, 5]]"
mod_fNIRS-only_none_RF,2,0,2,none,RF,True,1512,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.80579344662665,0.6896551724137931,0.6466089466089467,0.8355565730565729,"[[13, 0, 0], [7, 2, 0], [2, 0, 5]]"
mod_fNIRS-only_none_RF,2,0,2,none,RF,False,1512,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6896551724137931,0.6466089466089467,0.8325808450808451,"[[13, 0, 0], [7, 2, 0], [2, 0, 5]]"
mod_fNIRS-only_none_RF,3,0,3,none,RF,True,1512,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.809565965480247,0.5862068965517241,0.6107817303469477,0.8042461322647082,"[[7, 5, 0], [4, 6, 0], [1, 2, 4]]"
mod_fNIRS-only_none_RF,3,0,3,none,RF,False,1512,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.5862068965517241,0.6107817303469477,0.8047766475011059,"[[7, 5, 0], [4, 6, 0], [1, 2, 4]]"
mod_fNIRS-only_none_RF,4,0,4,none,RF,True,1512,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.7875730695966129,0.6071428571428571,0.6098269546545408,0.7888676303854876,"[[9, 3, 0], [7, 2, 0], [1, 0, 6]]"
mod_fNIRS-only_none_RF,4,0,4,none,RF,False,1512,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6071428571428571,0.6098269546545408,0.8054536141942158,"[[9, 3, 0], [7, 2, 0], [1, 0, 6]]"
mod_fNIRS-only_none_RF,5,1,0,none,RF,True,1512,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.8110153019253333,0.7931034482758621,0.7867063492063493,0.87757104007104,"[[13, 0, 0], [4, 5, 0], [2, 0, 5]]"
mod_fNIRS-only_none_RF,5,1,0,none,RF,False,1512,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7586206896551724,0.7455322455322455,0.8682484182484181,"[[13, 0, 0], [5, 4, 0], [2, 0, 5]]"
mod_fNIRS-only_none_RF,6,1,1,none,RF,True,1512,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.78671664958041,0.6896551724137931,0.7037412666215913,0.8209711584711584,"[[10, 3, 0], [4, 5, 0], [2, 0, 5]]"
mod_fNIRS-only_none_RF,6,1,1,none,RF,False,1512,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7241379310344828,0.7305555555555556,0.8378478003478004,"[[11, 2, 0], [4, 5, 0], [2, 0, 5]]"
