task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm
three_class,0,0,0,none,LR,True,4968,"{""C"": 10}",0.5995385926099303,0.5172413793103449,0.5221205186880243,0.6959915084915086,"[[5, 4, 4], [2, 6, 1], [3, 0, 4]]"
three_class,0,0,0,none,LR,False,4968,"{""C"": 1.0}",,0.5517241379310345,0.5400501253132832,0.7390928515928517,"[[7, 3, 3], [2, 6, 1], [3, 1, 3]]"
three_class,0,0,0,none,LASSO,True,4968,"{""C"": 0.1}",0.6453215281195804,0.5172413793103449,0.4529100529100529,0.7402250527250528,"[[11, 2, 0], [7, 2, 0], [4, 1, 2]]"
three_class,0,0,0,none,LASSO,False,4968,"{""C"": 1.0}",,0.4827586206896552,0.4704924704924704,0.6471768971768972,"[[7, 4, 2], [3, 4, 2], [3, 1, 3]]"
three_class,0,0,0,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8086845712120745,0.8275862068965517,0.8253574382606641,0.866934916934917,"[[13, 0, 0], [4, 5, 0], [1, 0, 6]]"
three_class,0,0,0,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.8275862068965517,0.8253574382606641,0.862004662004662,"[[13, 0, 0], [4, 5, 0], [1, 0, 6]]"
three_class,0,0,0,none,SVM,True,4968,"{""C"": 1, ""gamma"": 0.0001}",0.6552179675111423,0.5517241379310345,0.419047619047619,0.7418669293669294,"[[12, 0, 1], [7, 0, 2], [3, 0, 4]]"
three_class,0,0,0,none,SVM,False,4968,"{""C"": 1.0, ""gamma"": ""scale""}",,0.5172413793103449,0.4044117647058824,0.7214331964331965,"[[10, 0, 3], [7, 0, 2], [2, 0, 5]]"
three_class,0,0,0,anova,LR,True,200,"{""C"": 0.01}",0.6947690551811002,0.5517241379310345,0.5404007756948933,0.6975371850371851,"[[8, 3, 2], [3, 5, 1], [4, 0, 3]]"
three_class,0,0,0,anova,LR,False,50,"{""C"": 1.0}",,0.4482758620689655,0.4501424501424502,0.6353882228882229,"[[6, 5, 2], [4, 4, 1], [4, 0, 3]]"
three_class,0,0,0,anova,LASSO,True,50,"{""C"": 0.1}",0.7083149239855108,0.5172413793103449,0.3648148148148148,0.721990971990972,"[[13, 0, 0], [9, 0, 0], [5, 0, 2]]"
three_class,0,0,0,anova,LASSO,False,50,"{""C"": 1.0}",,0.4482758620689655,0.4346978557504873,0.69008214008214,"[[6, 5, 2], [3, 5, 1], [5, 0, 2]]"
three_class,0,0,0,anova,RF,True,500,"{""max_depth"": null, ""min_samples_leaf"": 1}",0.749699143585628,0.5517241379310345,0.5117570601441569,0.7652842527842528,"[[10, 1, 2], [4, 3, 2], [4, 0, 3]]"
three_class,0,0,0,anova,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.4482758620689655,0.4038336582196231,0.6539548414548415,"[[7, 4, 2], [2, 5, 2], [5, 1, 1]]"
three_class,0,0,0,anova,SVM,True,200,"{""C"": 0.1, ""gamma"": 0.001}",0.7137551668776724,0.4482758620689655,0.2063492063492063,0.6727346727346727,"[[13, 0, 0], [9, 0, 0], [7, 0, 0]]"
three_class,0,0,0,anova,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4137931034482758,0.2857142857142857,0.611080586080586,"[[10, 0, 3], [7, 0, 2], [5, 0, 2]]"
three_class,0,0,0,mi,LR,True,100,"{""C"": 10}",0.7266217429823975,0.6206896551724138,0.6332399626517273,0.7561642061642062,"[[5, 5, 3], [3, 6, 0], [0, 0, 7]]"
three_class,0,0,0,mi,LR,False,50,"{""C"": 1.0}",,0.7241379310344828,0.7306397306397306,0.8692464942464943,"[[7, 2, 4], [2, 7, 0], [0, 0, 7]]"
three_class,0,0,0,mi,LASSO,True,100,"{""C"": 5}",0.7115561720950768,0.6206896551724138,0.6332399626517273,0.816159766159766,"[[5, 5, 3], [3, 6, 0], [0, 0, 7]]"
three_class,0,0,0,mi,LASSO,False,50,"{""C"": 1.0}",,0.6206896551724138,0.6148978109762423,0.8289132164132166,"[[8, 2, 3], [6, 3, 0], [0, 0, 7]]"
three_class,0,0,0,mi,RF,True,200,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.8221785101464888,0.8275862068965517,0.833554376657825,0.8952787952787954,"[[12, 1, 0], [3, 6, 0], [1, 0, 6]]"
three_class,0,0,0,mi,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6551724137931034,0.6788407670760611,0.7870481370481371,"[[9, 4, 0], [5, 4, 0], [1, 0, 6]]"
three_class,0,0,0,mi,SVM,True,100,"{""C"": 100, ""gamma"": ""scale""}",0.7185264979407783,0.5862068965517241,0.6014635519279482,0.7942643005143006,"[[5, 5, 3], [4, 5, 0], [0, 0, 7]]"
three_class,0,0,0,mi,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.4482758620689655,0.2063492063492063,0.8412550412550414,"[[13, 0, 0], [9, 0, 0], [7, 0, 0]]"
three_class,1,0,1,none,LR,True,4968,"{""C"": 10}",0.6558025865593234,0.5172413793103449,0.5417529330572809,0.6534164909164909,"[[5, 6, 2], [4, 5, 0], [1, 1, 5]]"
three_class,1,0,1,none,LR,False,4968,"{""C"": 1.0}",,0.5862068965517241,0.5900488400488401,0.672520535020535,"[[7, 4, 2], [3, 6, 0], [1, 2, 4]]"
three_class,1,0,1,none,LASSO,True,4968,"{""C"": 0.1}",0.7035315432521806,0.5172413793103449,0.5164587046939988,0.6846491471491473,"[[8, 4, 1], [5, 4, 0], [4, 0, 3]]"
three_class,1,0,1,none,LASSO,False,4968,"{""C"": 1.0}",,0.4482758620689655,0.449270990447461,0.6253612128612129,"[[6, 4, 3], [5, 3, 1], [2, 1, 4]]"
