fs,clf,k_median,k_min,k_max,params_mode,params_mode_freq
anova,LASSO,20.0,10,500,"{""C"": 5}",0.52
anova,LR,100.0,10,500,"{""C"": 0.01}",0.6
anova,RF,200.0,10,500,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.36
anova,SVM,200.0,10,500,"{""C"": 10, ""gamma"": 0.0001}",0.24
mi,LASSO,50.0,10,500,"{""C"": 0.1}",0.4
mi,LR,100.0,10,500,"{""C"": 0.01}",0.36
mi,RF,200.0,20,500,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.48
mi,SVM,100.0,10,500,"{""C"": 10, ""gamma"": 0.0001}",0.2
none,LASSO,4968.0,4968,4968,"{""C"": 0.1}",0.72
none,LR,4968.0,4968,4968,"{""C"": 0.01}",0.4
none,RF,4968.0,4968,4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.52
none,SVM,4968.0,4968,4968,"{""C"": 0.1, ""gamma"": 0.0001}",0.44
