k,acc_mean,acc_sd,acc_ci_lo,acc_ci_hi,f1_mean,f1_sd,f1_ci_lo,f1_ci_hi,auc_mean,auc_sd,auc_ci_lo,auc_ci_hi,n_folds,k_median,k_iqr
10,0.4678325123152709,0.09040639191807678,0.43051458786693125,0.5051504367636105,0.4121110509173453,0.11057661548354254,0.3664672673881096,0.457754834446581,0.6773892201668629,0.09936146242428158,0.6363748242911165,0.7184036160426093,25,10.0,10-10
20,0.49724137931034484,0.09973359788643112,0.45607337346558624,0.5384093851551034,0.4739492282084199,0.11894452132928914,0.42485134291140914,0.5230471135054306,0.6977934641856579,0.08181244859700094,0.6640229451891345,0.7315639831821813,25,20.0,20-20
30,0.5167980295566502,0.10335958744213933,0.47413328878619077,0.5594627703271097,0.5028882016140173,0.1173017987686845,0.45446839886300366,0.5513080043650308,0.7166170039520326,0.09098693129732198,0.6790594446257345,0.7541745632783308,25,30.0,30-30
50,0.5512807881773399,0.10217338882904277,0.5091056861291555,0.5934558902255244,0.5389630807852418,0.10638199932171977,0.49505074970859964,0.582875411861884,0.7135537888365178,0.08844910475831462,0.6770437928189234,0.7500637848541122,25,50.0,50-50
75,0.5305911330049262,0.09246756705194674,0.49242239727777504,0.5687598687320774,0.5185858200319218,0.09717662203402708,0.478473281943942,0.5586983581199015,0.7008385322987823,0.08361626998259751,0.6663234324296257,0.735353632167939,25,75.0,75-75
100,0.5043349753694581,0.08667195108989605,0.46855855233187194,0.5401113984070444,0.49976742917913286,0.08872748889987352,0.4631425218356698,0.536392336522596,0.6895971295462118,0.08180163273494925,0.6558310751181147,0.7233631839743089,25,100.0,100-100
150,0.5126600985221674,0.10005132573489423,0.4713609410675224,0.5539592559768125,0.5095070451879948,0.10682357281588704,0.46541244153145966,0.55360164884453,0.676003000865009,0.09272165448427638,0.6377293830006352,0.7142766187293828,25,150.0,150-150
200,0.5167487684729064,0.0803919342232811,0.48356460899092146,0.5499329279548913,0.511098626386793,0.0901543615966003,0.4738847349420498,0.5483125178315362,0.6677444865485556,0.0911040423818502,0.6301385861424758,0.7053503869546354,25,200.0,200-200
300,0.5124137931034483,0.08423435261787139,0.47764356126190977,0.5471840249449867,0.5063417009860717,0.09483443438628214,0.4671959704415407,0.5454874315306026,0.693722446630065,0.09210889721786396,0.6557017625338464,0.7317431307262836,25,300.0,300-300
500,0.510935960591133,0.09777484939480686,0.4705764863852653,0.5512954347970007,0.510338571764021,0.09274282356964128,0.47205621573068013,0.5486209277973618,0.6747845489277376,0.0902162099320484,0.6375451277448804,0.7120239701105949,25,500.0,500-500
