tuned,fs,clf,acc_mean,acc_sd,acc_ci_lo,acc_ci_hi,f1_mean,f1_sd,f1_ci_lo,f1_ci_hi,auc_mean,auc_sd,auc_ci_lo,auc_ci_hi,n_folds,k_median,k_iqr,params_mode,params_mode_freq
True,none,LR,0.5890909090909091,0.10457719277202636,0.5459235655426528,0.6322582526391655,0.4795145106011979,0.15053382333737753,0.4173772023087218,0.541651818893674,0.5743219373219373,0.10333109635683838,0.5316689570934722,0.6169749175504023,25,4968.0,4968-4968,"{""C"": 0.01}",0.4
False,none,LR,0.5870995670995671,0.1018414561456385,0.5450614801289497,0.6291376540701845,0.4769369883642329,0.13905433575696596,0.41953817965284446,0.5343357970756214,0.5697364672364672,0.10725268076060665,0.525464736525954,0.6140081979469804,25,4968.0,4968-4968,"{""C"": 1.0}",1.0
True,none,LASSO,0.5984415584415584,0.10008359355330863,0.557129081486111,0.6397540353970059,0.5533005512308244,0.10113256865718383,0.5115550786337626,0.5950460238278863,0.6513048433048432,0.09820571459971261,0.6107675166836434,0.691842169926043,25,4968.0,4968-4968,"{""C"": 0.1}",0.72
False,none,LASSO,0.5906493506493506,0.08835067257696676,0.5541799854392566,0.6271187158594447,0.5073566168953165,0.13352149718012069,0.45224165170002223,0.5624715820906108,0.6298689458689459,0.14481987524925932,0.5700902394245266,0.6896476523133652,25,4968.0,4968-4968,"{""C"": 1.0}",1.0
True,none,RF,0.6664935064935065,0.08766438634415107,0.6303074263171671,0.7026795866698459,0.4983073294094967,0.14674541748085332,0.43773379819664926,0.5588808606223441,0.6948205128205127,0.11283029520191046,0.648246456025455,0.7413945696155704,25,4968.0,4968-4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.52
False,none,RF,0.6646753246753246,0.0936817774816404,0.6260053875163017,0.7033452618343475,0.48050011701404893,0.16429664483034742,0.41268179522491605,0.5483184388031819,0.7028290598290597,0.10807777071171557,0.6582167487258851,0.7474413709322344,25,4968.0,4968-4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",1.0
True,none,SVM,0.5670129870129871,0.04821984240721427,0.5471088143357512,0.586917159690223,0.0981342383107089,0.18333936804517742,0.02245546671106237,0.17381300991035542,0.5810641025641025,0.11763719755170964,0.5325058539999175,0.6296223511282875,25,4968.0,4968-4968,"{""C"": 0.1, ""gamma"": 0.0001}",0.44
False,none,SVM,0.5670129870129871,0.0636153777570803,0.5407538496829348,0.5932721243430393,0.17902660085013025,0.19943688056699346,0.09670310266257066,0.26135009903768985,0.5932321937321937,0.10394208511626378,0.5503270097393788,0.6361373777250087,25,4968.0,4968-4968,"{""C"": 1.0, ""gamma"": ""scale""}",1.0
True,anova,LR,0.5837229437229436,0.10079610396954335,0.5421163569228538,0.6253295305230335,0.45181872479086105,0.13467948584765,0.3962257653665077,0.5074116842152144,0.6185185185185185,0.11206593877954311,0.5722599725475999,0.6647770644894371,25,100.0,50-200,"{""C"": 0.01}",0.6
False,anova,LR,0.6126406926406927,0.09397213838048889,0.5738509003933725,0.6514304848880128,0.5278448554929912,0.10712559966223903,0.48362558128170424,0.5720641297042781,0.6670769230769231,0.1053664624837073,0.6235837850041318,0.7105700611497144,25,50.0,50-50,"{""C"": 1.0}",1.0
True,anova,LASSO,0.5677056277056277,0.09420873935093158,0.5288181713777923,0.6065930840334631,0.4976386675697484,0.12109960291052099,0.4476512083175985,0.5476261268218983,0.624096866096866,0.11970708697956471,0.5746842091701051,0.6735095230236269,25,20.0,20-100,"{""C"": 5}",0.52
False,anova,LASSO,0.5906493506493506,0.09067326658717731,0.5532212657518727,0.6280774355468286,0.5087760139682337,0.10900903714268188,0.4637792949755863,0.5537727329608811,0.6515982905982907,0.11164580669377583,0.6055131666288738,0.6976834145677075,25,50.0,50-50,"{""C"": 1.0}",1.0
True,anova,RF,0.6441558441558441,0.09533643093309628,0.6048028996211308,0.6835087886905575,0.5427311641111614,0.13047122078464315,0.48887529112890593,0.5965870370934169,0.6711652421652423,0.08110927490365437,0.6376849790035735,0.7046455053269112,25,200.0,50-500,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.36
False,anova,RF,0.6429437229437229,0.1069266990315632,0.5988065508775477,0.6870808950098981,0.5401629543487129,0.15433669467088265,0.4764558979211812,0.6038700107762445,0.6734843304843305,0.13476000173434224,0.6178581357354307,0.7291105252332304,25,50.0,50-50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",1.0
