feature,freq_in_topN,n_folds
eeg_act-5_feat-Px_band-Alpha_ch-30,25.0,25
eeg_act-5_feat-Pm_band-Alpha_ch-30,25.0,25
eeg_act-5_feat-Pd_band-Alpha_ch-30,24.0,25
eeg_act-5_feat-Pm_band-Theta_ch-20,21.0,25
eeg_act-5_feat-Px_band-Theta_ch-20,21.0,25
eeg_act-5_feat-Pm_band-Alpha_ch-20,20.0,25
eeg_act-5_feat-Pd_band-Theta_ch-20,20.0,25
eeg_act-5_feat-Pd_band-Alpha_ch-20,19.0,25
eeg_act-5_feat-Px_band-Alpha_ch-20,19.0,25
eeg_act-5_feat-Pm_band-Theta_ch-30,18.0,25
eeg_act-5_feat-Px_band-Theta_ch-30,18.0,25
eeg_act-5_feat-Pd_band-Theta_ch-30,14.0,25
eeg_act-5_feat-Pd_band-Delta_ch-0,12.0,25
eeg_act-5_feat-Px_band-Delta_ch-0,10.0,25
eeg_act-5_feat-Pm_band-Delta_ch-0,9.0,25
eeg_act-5_feat-Pm_band-Alpha_ch-5,8.0,25
eeg_act-5_feat-Px_band-Delta_ch-6,8.0,25
eeg_act-5_feat-Px_band-Alpha_ch-5,8.0,25
eeg_act-5_feat-Pm_band-Delta_ch-6,8.0,25
eeg_act-5_feat-Px_band-Theta_ch-7,7.0,25
