feature,freq_in_topN,n_folds
fnirs_act-4_THb_feat-Px_band-vlfo_ch-2,25.0,25
fnirs_act-4_THb_feat-Pd_band-vlfo_ch-1,24.0,25
fnirs_act-2_HbO_feat-Pm_band-vlfo_ch-2,23.0,25
fnirs_act-2_Hb_feat-Px_band-vlfo_ch-5,22.0,25
fnirs_act-1_Hb_feat-Pd_band-vlfo_ch-1,20.0,25
fnirs_act-1_HbO_feat-Pd_band-vlfo_ch-1,19.0,25
fnirs_act-1_THb_feat-Pd_band-vlfo_ch-5,19.0,25
fnirs_act-2_HbO_feat-Pd_band-vlfo_ch-1,17.0,25
fnirs_act-2_THb_feat-Pd_band-vlfo_ch-1,16.0,25
fnirs_act-3_Hb_feat-Px_band-vlfo_ch-1,14.0,25
fnirs_act-2_THb_feat-Px_band-vlfo_ch-0,14.0,25
fnirs_act-1_THb_feat-Pm_band-vlfo_ch-5,13.0,25
fnirs_act-2_HbO_feat-Pd_band-vlfo_ch-0,12.0,25
fnirs_act-1_THb_feat-Px_band-vlfo_ch-4,12.0,25
fnirs_act-2_THb_feat-Px_band-vlfo_ch-1,12.0,25
fnirs_act-4_HbO_feat-Px_band-vlfo_ch-1,12.0,25
fnirs_act-1_HbO_feat-Px_band-vlfo_ch-1,12.0,25
fnirs_act-4_Hb_feat-Pd_band-vlfo_ch-2,11.0,25
fnirs_act-2_Hb_feat-Pd_band-vlfo_ch-3,11.0,25
fnirs_act-4_HbO_feat-Pd_band-vlfo_ch-5,11.0,25
