feature,freq_in_topN,n_folds
fnirs_act-1_Hb_feat-Pd_band-vlfo_ch-1,3.0,5
eeg_act-2_feat-Px_band-Gamma2_ch-30,3.0,5
fnirs_act-4_THb_feat-Pd_band-vlfo_ch-4,2.0,5
fnirs_act-2_THb_feat-Pm_band-vlfo_ch-3,2.0,5
eeg_act-5_feat-Px_band-Gamma1_ch-30,2.0,5
fnirs_act-1_Hb_feat-Px_band-vlfo_ch-1,2.0,5
fnirs_act-2_Hb_feat-Pd_band-vlfo_ch-4,2.0,5
fnirs_act-2_THb_feat-Px_band-vlfo_ch-0,2.0,5
fnirs_act-4_THb_feat-Px_band-vlfo_ch-2,2.0,5
fnirs_act-3_prop-Hb_time-ing_ch-0_feat-mean,1.0,5
fnirs_act-1_prop-Hb_time-before_ch-0_feat-median,1.0,5
fnirs_act-2_prop-THb_time-before_ch-4_feat-std,1.0,5
fnirs_act-5_prop-HbO_time-before_ch-2_feat-mean,1.0,5
fnirs_act-5_prop-Hb_time-after_ch-0_feat-std,1.0,5
fnirs_act-5_prop-Hb_time-before_ch-4_feat-std,1.0,5
fnirs_act-1_prop-Hb_time-before_ch-1_feat-mean,1.0,5
fnirs_act-5_HbO_feat-Pd_band-lfo_ch-0,1.0,5
fnirs_act-5_HbO_feat-Pm_band-lfo_ch-0,1.0,5
fnirs_act-5_HbO_feat-Pm_band-vlfo_ch-3,1.0,5
fnirs_act-0_prop-Hb_ch-5_feat-mean,1.0,5
